City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
252,Fernie,CA,49.5,-115.0687,51.89,59,0,2.73,2022-10-12 05:43:31
253,Washington,US,47.5001,-120.5015,59.92,57,0,4.47,2022-10-12 05:43:32
254,Charlottesville,US,38.0293,-78.4767,51.13,94,0,0.0,2022-10-12 05:41:09
255,Chokurdakh,RU,70.6333,147.9167,11.71,87,50,5.19,2022-10-12 05:43:33
256,Bonthe,SL,7.5264,-12.505,71.85,93,100,14.54,2022-10-12 05:43:33
257,Willmar,US,45.1219,-95.0433,57.15,51,100,19.57,2022-10-12 05:43:34
258,Matay,EG,28.419,30.7792,72.46,67,1,14.92,2022-10-12 05:43:34
259,Bethel,US,41.3712,-73.414,55.9,88,0,0.0,2022-10-12 05:40:24
260,Cururupu,BR,-1.8283,-44.8683,75.13,89,47,3.58,2022-10-12 05:43:35
261,Maniitsoq,GL,65.4167,-52.9,26.31,77,88,5.93,2022-10-12 05:43:36
262,Baruun-Urt,MN,46.6806,113.2792,52.66,26,57,6.6,2022-10-12 05:43:36
263,Nuuk,GL,64.1835,-51.7216,27.21,93,20,4.61,2022-10-12 05:43:37
264,Skjervoy,NO,70.0311,20.9714,44.6,87,100,23.69,2022-10-12 05:43:38
265,Port Shepstone,ZA,-30.7414,30.455,71.24,74,100,9.8,2022-10-12 05:43:38
266,Arkhara,RU,49.4212,130.0842,50.68,42,100,6.96,2022-10-12 05:43:39
267,Bengkulu,ID,-3.8004,102.2655,82.53,69,97,5.5,2022-10-12 05:42:06
268,San Patricio,US,28.017,-97.5169,82.83,85,0,7.45,2022-10-12 05:43:40
269,Kemijarvi,FI,66.7131,27.4306,36.97,91,99,7.38,2022-10-12 05:43:40
270,Manhattan,US,40.7834,-73.9662,62.6,68,0,7.0,2022-10-12 05:39:12
271,Grocka,RS,44.6722,20.7175,56.89,96,81,1.1,2022-10-12 05:43:41
272,Fairbanks,US,64.8378,-147.7164,26.6,86,40,3.44,2022-10-12 05:40:08
273,Trairi,BR,-3.2778,-39.2689,78.75,76,89,13.96,2022-10-12 05:42:49
274,Mwense,ZM,-10.3845,28.698,79.81,24,22,11.07,2022-10-12 05:43:43
275,Pechenga,RU,69.5259,31.1703,41.99,94,100,6.31,2022-10-12 05:43:43
276,Puerto Leguizamo,CO,-0.1934,-74.7819,71.11,97,65,2.28,2022-10-12 05:43:44
277,Kuminskiy,RU,58.6667,66.5667,46.53,69,43,2.24,2022-10-12 05:43:45
278,Puerto Colombia,CO,10.9878,-74.9547,82.49,80,15,13.58,2022-10-12 05:43:45
279,Birao,CF,10.2849,22.7882,75.38,76,41,1.14,2022-10-12 05:43:46
280,Ignacio Zaragoza,MX,28.3833,-107.2167,50.0,61,0,3.4,2022-10-12 05:44:47
281,Doctor Arroyo,MX,23.6667,-100.1833,62.49,85,81,5.32,2022-10-12 05:44:48
282,Mercedes,AR,-34.6515,-59.4307,50.79,47,2,8.32,2022-10-12 05:44:49
283,Visnes,NO,59.3556,5.2242,51.85,82,75,17.27,2022-10-12 05:44:50
284,Kutum,SD,14.2,24.6667,76.06,28,29,13.24,2022-10-12 05:44:50
285,Kpalime,TG,6.9,0.6333,70.7,97,58,1.23,2022-10-12 05:44:51
286,Gamba,GA,-2.65,10.0,76.44,87,89,1.41,2022-10-12 05:44:51
287,Churapcha,RU,62.0025,132.4325,29.34,68,98,3.56,2022-10-12 05:44:52
288,Vila Velha,BR,-20.3297,-40.2925,75.15,83,100,8.05,2022-10-12 05:44:53
