City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Xinqing,CN,48.2333,129.5,53.38,43,37,5.59,scattered clouds
235,Lagoa,PT,39.05,-27.9833,69.75,80,0,4.16,clear sky
236,Lasa,IT,46.6166,10.7002,54.48,81,46,1.03,scattered clouds
237,Antsohihy,MG,-14.8796,47.9875,89.01,27,0,6.46,clear sky
238,Elverum,NO,60.8819,11.5623,35.17,77,56,0.67,broken clouds
239,Delta Del Tigre,UY,-34.7633,-56.3853,52.9,89,0,6.44,light rain
240,Chadiza,ZM,-14.0678,32.4392,78.03,27,0,10.29,clear sky
241,Lakes Entrance,AU,-37.8811,147.981,63.1,79,100,4.99,moderate rain
242,Antalaha,MG,-14.9003,50.2788,78.46,57,3,11.25,clear sky
243,Lagos,NG,6.5833,3.75,75.52,86,99,3.18,overcast clouds
244,Dakar,SN,14.6937,-17.4441,80.73,89,0,4.61,clear sky
245,Zhengjiatun,CN,43.5064,123.5064,60.89,59,1,15.19,clear sky
246,Starodub,RU,52.5844,32.7633,45.52,79,100,6.08,overcast clouds
247,Diffa,NE,13.3154,12.6113,84.87,28,90,8.41,overcast clouds
248,Zhigansk,RU,66.7697,123.3711,26.22,92,100,18.16,overcast clouds
249,Mar Del Plata,AR,-38.0023,-57.5575,50.09,81,0,18.01,clear sky
250,Beloha,MG,-25.1667,45.05,91.08,26,0,6.98,clear sky
251,Sur,OM,22.5667,59.5289,90.16,22,0,5.82,clear sky
252,Urucui,BR,-7.2294,-44.5561,79.47,40,10,11.79,clear sky
253,Erdenet,MN,49.0333,104.0833,45.99,36,0,10.36,clear sky
254,Santa Ana,US,33.7456,-117.8678,69.71,87,40,5.75,scattered clouds
255,Ponta Delgada,PT,37.7333,-25.6667,70.5,77,75,2.3,broken clouds
256,Saint-Augustin,CA,51.226,-58.6502,33.03,75,2,8.68,clear sky
257,Huilong,CN,31.8111,121.655,65.03,55,0,12.64,clear sky
258,Ternate,ID,0.8,127.4,82.54,76,71,9.19,broken clouds
259,Seymchan,RU,62.8833,152.4333,10.09,95,100,1.28,overcast clouds
260,Kanpur,IN,26.4667,80.35,85.51,58,1,2.68,clear sky
261,Almaznyy,RU,48.0448,40.045,48.13,84,100,12.48,overcast clouds
262,Fairbanks,US,64.8378,-147.7164,27.23,89,75,5.75,broken clouds
263,Mangaratiba,BR,-22.9597,-44.0406,68.86,80,87,7.05,overcast clouds
264,Nhulunbuy,AU,-12.2333,136.7667,90.21,58,40,12.66,scattered clouds
265,Kavieng,PG,-2.5744,150.7967,84.2,68,65,5.99,broken clouds
266,Swamimalai,IN,10.95,79.3333,88.34,59,68,7.78,broken clouds
267,Honggang,CN,46.4667,124.8667,59.29,42,100,14.85,overcast clouds
268,Diamantino,BR,-14.4086,-56.4461,73.18,86,100,3.27,overcast clouds
269,Jacareacanga,BR,-6.2222,-57.7528,70.86,96,99,0.56,overcast clouds
270,Morwa,IN,22.9,73.8333,89.55,42,6,5.1,clear sky
271,Sumbe,AO,-11.2061,13.8437,75.74,78,66,2.13,broken clouds
272,Ambilobe,MG,-13.2,49.05,91.33,23,0,8.41,clear sky
